Author	n (strains)	publication title	journal	publication URL	strains
Lin et al	1	Imported Zika virus strains, Taiwan, 2016	Unpublished	unknown	Thailand/1610acTw
Ho et al	4	Outbreak of Zika virus infection in Singapore: an epidemiological, entomological, virological, and clinical analysis	Lancet Infect Dis (2017) In press	unknown	SG_018,SG_056,SG_027,SG_074
Wu et al	1	Direct Submission	Submitted (18-MAY-2016) Center for Diseases Control and Prevention of Guangdong Province; National Institute of Viral Disease Control and Prevention, China	unknown	ZKC2/2016
Bi et al	1	Genetic and Biological Characterization for Zika Viruses Imported through Shenzhen Port	Chin. Sci. Bull. 61 (22), 2463-2474 (2016)	unknown	SMGC_1
Pettersson et al	3	How Did Zika Virus Emerge in the Pacific Islands and Latin America?	MBio 7 (5), e01239-16 (2016)	https://www.ncbi.nlm.nih.gov/pubmed/27729507	1_0087_PF,1_0181_PF,1_0199_PF
Lanciotti et al	2	Phylogeny of Zika Virus in Western Hemisphere, 2015	Emerging Infect. Dis. 22 (5), 933-935 (2016)	https://www.ncbi.nlm.nih.gov/pubmed/27088323	PRVABC59,V8375
Faria et al	4	Establishment and cryptic transmission of Zika virus in Brazil and the Americas	Nature 546 (7658), 406-410 (2017)	https://www.ncbi.nlm.nih.gov/pubmed/28538727	Brazil/2016/ZBRC16,Brazil/2015/ZBRC301,Brazil/2015/ZBRC303,Brazil/2015/ZBRA105
Metsky et al	6	Zika virus evolution and spread in the Americas	Nature 546 (7658), 411-415 (2017)	https://www.ncbi.nlm.nih.gov/pubmed/28538734	HND/2016/HU_ME59,BRA/2016/FC_6706,DOM/2016/BB_0433,DOM/2016/BB_0183,DOM/2016/MA_WGS16_011,DOM/2016/BB_0059
Tabata et al	1	Zika Virus Targets Different Primary Human Placental Cells, Suggesting Two Routes for Vertical Transmission	Cell Host Microbe 20 (2), 155-166 (2016)	https://www.ncbi.nlm.nih.gov/pubmed/27443522	Nica1_16
Quick et al	1	Multiplex PCR method for MinION and Illumina sequencing of Zika and other virus genomes directly from clinical samples	Nat Protoc 12 (6), 1261-1276 (2017)	https://www.ncbi.nlm.nih.gov/pubmed/28538739	Colombia/2016/ZC204Se
Shabman et al	1	Direct Submission	Submitted (29-APR-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	unknown	PAN/CDC_259359_V1_V3/2015
Blohm et al	1	Complete Genome Sequences of Identical Zika virus Isolates in a Nursing Mother and Her Infant	Genome Announc 5 (17), e00231-17 (2017)	https://www.ncbi.nlm.nih.gov/pubmed/28450510	VEN/UF_1/2016
Pickett et al	2	Direct Submission	Submitted J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	unknown	COL/FLR_00024/2015,COL/FLR_00008/2015
Marquez et al	1	First Complete Genome Sequences of Zika Virus Isolated from Febrile Patient Sera in Ecuador	Genome Announc 5 (8), e01673-16 (2017)	https://www.ncbi.nlm.nih.gov/pubmed/28232448	EcEs062_16
Grubaugh et al	4	Genomic epidemiology reveals multiple introductions of Zika virus into the United States	Nature (2017) In press	https://www.ncbi.nlm.nih.gov/pubmed/28538723	USA/2016/FLUR022,Aedes_aegypti/USA/2016/FL05,USA/2016/FL022,USA/2016/FLWB042